            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2448261.295138889, A.D. 1991-Jan-04 19:05:00.0000, -1.156271099701836E+07,  9.591360470686942E+07,  8.474517565580621E+06,
2448262.295138889, A.D. 1991-Jan-05 19:05:00.0000, -1.147555466808911E+07,  9.775006582912570E+07,  8.534272671768717E+06,
2448263.295138889, A.D. 1991-Jan-06 19:05:00.0000, -1.139670829385300E+07,  9.961455344628759E+07,  8.593472291784063E+06,
2448264.295138889, A.D. 1991-Jan-07 19:05:00.0000, -1.132686707733894E+07,  1.015071471020090E+08,  8.652125915609464E+06,
2448265.295138889, A.D. 1991-Jan-08 19:05:00.0000, -1.126673742530689E+07,  1.034279024110827E+08,  8.710241836490296E+06,
2448266.295138889, A.D. 1991-Jan-09 19:05:00.0000, -1.121692561509570E+07,  1.053767198476299E+08,  8.767860547267772E+06,
2448267.295138889, A.D. 1991-Jan-10 19:05:00.0000, -1.117837020540311E+07,  1.073538711974977E+08,  8.824922474132657E+06,
2448268.295138889, A.D. 1991-Jan-11 19:05:00.0000, -1.115168763587533E+07,  1.093592019737628E+08,  8.881465727771021E+06,
2448269.295138889, A.D. 1991-Jan-12 19:05:00.0000, -1.113760632215476E+07,  1.113926680510878E+08,  8.937495041855127E+06,
2448270.295138889, A.D. 1991-Jan-13 19:05:00.0000, -1.113685626809566E+07,  1.134541999924063E+08,  8.993014454562180E+06,
2448271.295138889, A.D. 1991-Jan-14 19:05:00.0000, -1.115016762750260E+07,  1.155437027139380E+08,  9.048027369553670E+06,
2448272.295138889, A.D. 1991-Jan-15 19:05:00.0000, -1.117826906803856E+07,  1.176610551241526E+08,  9.102536632777050E+06,
2448273.295138889, A.D. 1991-Jan-16 19:05:00.0000, -1.122188587585315E+07,  1.198061098682923E+08,  9.156544635850027E+06,
2448274.295138889, A.D. 1991-Jan-17 19:05:00.0000, -1.128173781064157E+07,  1.219786933183616E+08,  9.210053451297313E+06,
2448275.295138889, A.D. 1991-Jan-18 19:05:00.0000, -1.135853678096994E+07,  1.241786059246015E+08,  9.263064998927936E+06,
2448276.295138889, A.D. 1991-Jan-19 19:05:00.0000, -1.145298444329575E+07,  1.264056229992982E+08,  9.315581237911493E+06,
2448277.295138889, A.D. 1991-Jan-20 19:05:00.0000, -1.156576982837920E+07,  1.286594959591918E+08,  9.367604377133049E+06,
2448278.295138889, A.D. 1991-Jan-21 19:05:00.0000, -1.169756707581906E+07,  1.309399540326372E+08,  9.419137097386859E+06,
2448279.295138889, A.D. 1991-Jan-22 19:05:00.0000, -1.184903333913470E+07,  1.332467064558015E+08,  9.470182781254992E+06,
2448280.295138889, A.D. 1991-Jan-23 19:05:00.0000, -1.202080694631032E+07,  1.355794452290117E+08,  9.520745746733978E+06,
2448281.295138889, A.D. 1991-Jan-24 19:05:00.0000, -1.221350599291963E+07,  1.379378485395916E+08,  9.570831474689610E+06,
2448282.295138889, A.D. 1991-Jan-25 19:05:00.0000, -1.242772770339773E+07,  1.403215849139332E+08,  9.620446805400647E+06,
2448283.295138889, A.D. 1991-Jan-26 19:05:00.0000, -1.266404905757438E+07,  1.427303179665541E+08,  9.669600057790250E+06,
2448284.295138889, A.D. 1991-Jan-27 19:05:00.0000, -1.292302920679149E+07,  1.451637112456306E+08,  9.718301006723315E+06,
2448285.295138889, A.D. 1991-Jan-28 19:05:00.0000, -1.320521392980503E+07,  1.476214322435919E+08,  9.766560657438919E+06,
